Suite,Dataset,Model,Metric,Value
Claim Verification,Truthfulclaim,Mistral,Redundancy,0.9391
Claim Verification,Truthfulclaim,Mistral,WeakRel,0.268
Claim Verification,Truthfulclaim,Mistral,StrongRel,0.2325
Claim Verification,Truthfulclaim,Llama,Redundancy,0.9951
Claim Verification,Truthfulclaim,Llama,WeakRel,0.1755
Claim Verification,Truthfulclaim,Llama,StrongRel,0.1533
Claim Verification,Truthfulclaim,Qwen,Redundancy,0.9978
Claim Verification,Truthfulclaim,Qwen,WeakRel,0.1734
Claim Verification,Truthfulclaim,Qwen,StrongRel,0.1384
Claim Verification,Strategyclaim,Mistral,Redundancy,0.9478
Claim Verification,Strategyclaim,Mistral,WeakRel,0.2582
Claim Verification,Strategyclaim,Mistral,StrongRel,0.236
Claim Verification,Strategyclaim,Llama,Redundancy,0.9906
Claim Verification,Strategyclaim,Llama,WeakRel,0.1581
Claim Verification,Strategyclaim,Llama,StrongRel,0.1462
Claim Verification,Strategyclaim,Qwen,Redundancy,0.9994
Claim Verification,Strategyclaim,Qwen,WeakRel,0.1364
Claim Verification,Strategyclaim,Qwen,StrongRel,0.1154
Claim Verification,Medclaim,Mistral,Redundancy,0.9814
Claim Verification,Medclaim,Mistral,WeakRel,0.2282
Claim Verification,Medclaim,Mistral,StrongRel,0.2073
Claim Verification,Medclaim,Llama,Redundancy,0.9966
Claim Verification,Medclaim,Llama,WeakRel,0.1465
Claim Verification,Medclaim,Llama,StrongRel,0.1399
Claim Verification,Medclaim,Qwen,Redundancy,1.0
Claim Verification,Medclaim,Qwen,WeakRel,0.1297
Claim Verification,Medclaim,Qwen,StrongRel,0.1115
Question Answering,TruthfulQA,Mistral,Redundancy,0.9189
Question Answering,TruthfulQA,Mistral,WeakRel,0.3481
Question Answering,TruthfulQA,Mistral,StrongRel,0.2942
Question Answering,TruthfulQA,Llama,Redundancy,0.9792
Question Answering,TruthfulQA,Llama,WeakRel,0.2178
Question Answering,TruthfulQA,Llama,StrongRel,0.1994
Question Answering,TruthfulQA,Qwen,Redundancy,1.0
Question Answering,TruthfulQA,Qwen,WeakRel,0.149
Question Answering,TruthfulQA,Qwen,StrongRel,0.1198
Question Answering,StrategyQA,Mistral,Redundancy,0.9234
Question Answering,StrategyQA,Mistral,WeakRel,0.3049
Question Answering,StrategyQA,Mistral,StrongRel,0.277
Question Answering,StrategyQA,Llama,Redundancy,0.9706
Question Answering,StrategyQA,Llama,WeakRel,0.2044
Question Answering,StrategyQA,Llama,StrongRel,0.1928
Question Answering,StrategyQA,Qwen,Redundancy,1.0
Question Answering,StrategyQA,Qwen,WeakRel,0.1287
Question Answering,StrategyQA,Qwen,StrongRel,0.1092
Question Answering,MedQA,Mistral,Redundancy,0.9878
Question Answering,MedQA,Mistral,WeakRel,0.2528
Question Answering,MedQA,Mistral,StrongRel,0.2243
Question Answering,MedQA,Llama,Redundancy,0.9884
Question Answering,MedQA,Llama,WeakRel,0.1706
Question Answering,MedQA,Llama,StrongRel,0.1582
Question Answering,MedQA,Qwen,Redundancy,0.9993
Question Answering,MedQA,Qwen,WeakRel,0.138
Question Answering,MedQA,Qwen,StrongRel,0.1183
