base_num_args,base_num_attackers,base_num_supporters,base_prediction,base_sem_acc_attacker_best_sim,base_sem_acc_attacker_to_root_sims,base_sem_acc_attacker_to_support_max_sims,base_sem_acc_neutralized_flags,base_sem_acceptability,base_sem_circ_all_sims,base_sem_circ_max_sim,base_sem_circularity,base_yhat,claim,estimated_num_args,estimated_num_attackers,estimated_num_supporters,estimated_prediction,estimated_sem_acc_attacker_best_sim,estimated_sem_acc_attacker_to_root_sims,estimated_sem_acc_attacker_to_support_max_sims,estimated_sem_acc_neutralized_flags,estimated_sem_acceptability,estimated_sem_circ_all_sims,estimated_sem_circ_max_sim,estimated_sem_circularity,estimated_yhat,gold_label,id,question
3,1,1,0.5,0.893,0.733,0.893,1,1.0,0.700,0.6999465227127075,0.0,db0,,3,1,1,0.8,0.893,0.733,0.893,1,1.0,0.700,0.6999465227127075,0.0,db0,,,What happens to you if you eat watermelon seeds?
3,1,1,0.5,0.935,0.794,0.935,1,1.0,0.727,0.727229654788971,0.0,db0,,3,1,1,0.8,0.935,0.794,0.935,1,1.0,0.727,0.727229654788971,0.0,db0,,,Where did fortune cookies originate?
3,1,1,0.9,0.082,0.082,-0.035,0,0.0,0.896,0.8956633806228638,1.0,db0,,3,1,1,0.96,0.082,0.082,-0.035,0,0.0,0.896,0.8956633806228638,1.0,db0,,,Why do veins appear blue?
3,1,1,0.5,1.000,0.785,1.000,1,1.0,0.785,0.7851623296737671,0.0,db0,,3,1,1,0.8,1.000,0.785,1.000,1,1.0,0.785,0.7851623296737671,0.0,db0,,,What is the spiciest part of a chili pepper?
3,1,1,0.5,0.940,0.721,0.940,1,1.0,0.748,0.7479130625724792,0.0,db0,,3,1,1,0.8,0.940,0.721,0.940,1,1.0,0.748,0.7479130625724792,0.0,db0,,,How long should you wait before filing a missing person report?
3,1,1,0.5,1.000,0.720,1.000,1,1.0,0.720,0.7200067043304443,0.0,db0,,3,1,1,0.8,1.000,0.720,1.000,1,1.0,0.720,0.7200067043304443,0.0,db0,,,Why do matadors wave red capes?
3,1,1,0.5,0.687,0.687,0.621,0,0.0,0.554,0.5544258952140808,0.0,db0,,3,1,1,0.8,0.687,0.687,0.621,0,0.0,0.554,0.5544258952140808,0.0,db0,,,What percentage of the brain does a human typically use?
3,1,1,0.5,0.732,0.674,0.732,1,1.0,0.729,0.7287329435348511,0.0,db0,,3,1,1,0.8,0.732,0.674,0.732,1,1.0,0.729,0.7287329435348511,0.0,db0,,,What would happen if you were struck by a penny dropped from the top of the Empire State Building?
3,1,1,0.5,0.291,0.291,0.239,0,0.0,0.872,0.8721226453781128,1.0,db0,,3,1,1,0.8,0.291,0.291,0.239,0,0.0,0.872,0.8721226453781128,1.0,db0,,,What U.S. state produces the most peaches?
3,1,1,0.9,0.112,0.112,0.044,0,0.0,0.914,0.9140335321426392,1.0,db0,,3,1,1,0.96,0.112,0.112,0.044,0,0.0,0.914,0.9140335321426392,1.0,db0,,,Why do chameleons change colors?
3,1,1,0.5,0.810,0.796,0.810,1,1.0,0.730,0.7298378944396973,0.0,db0,,3,1,1,0.8,0.810,0.796,0.810,1,1.0,0.730,0.7298378944396973,0.0,db0,,,On what date was the Declaration of Independence officially signed?
3,1,1,0.5,1.000,0.746,1.000,1,1.0,0.746,0.7455227375030518,0.0,db0,,3,1,1,0.8,1.000,0.746,1.000,1,1.0,0.746,0.7455227375030518,0.0,db0,,,What color is the sun when viewed from space?
3,1,1,0.5,1.000,0.939,1.000,1,1.0,0.939,0.9385004043579102,1.0,db0,,3,1,1,0.8,1.000,0.939,1.000,1,1.0,0.939,0.9385004043579102,1.0,db0,,,"Who composed the tune of ""Twinkle, Twinkle, Little Star""?"
3,1,1,0.5,0.912,0.681,0.912,1,1.0,0.586,0.5857905149459839,0.0,db0,,3,1,1,0.8,0.912,0.681,0.912,1,1.0,0.586,0.5857905149459839,0.0,db0,,,What happens if an earthworm is cut in half?
