base_num_args,base_num_attackers,base_num_supporters,base_prediction,base_sem_acc_attacker_best_sim,base_sem_acc_attacker_to_root_sims,base_sem_acc_attacker_to_support_max_sims,base_sem_acc_neutralized_flags,base_sem_acceptability,base_sem_circ_all_sims,base_sem_circ_max_sim,base_sem_circularity,base_yhat,claim,estimated_num_args,estimated_num_attackers,estimated_num_supporters,estimated_prediction,estimated_sem_acc_attacker_best_sim,estimated_sem_acc_attacker_to_root_sims,estimated_sem_acc_attacker_to_support_max_sims,estimated_sem_acc_neutralized_flags,estimated_sem_acceptability,estimated_sem_circ_all_sims,estimated_sem_circ_max_sim,estimated_sem_circularity,estimated_yhat,gold_label,id,question
3,1,1,0.4,0.849,0.738,0.849,1,1.0,0.643,0.6433786153793335,0.0,db0,,3,1,1,0.52,0.849,0.738,0.849,1,1.0,0.643,0.6433786153793335,0.0,db0,,,What happens to you if you eat watermelon seeds?
3,1,1,0.5,0.743,0.678,0.743,1,1.0,0.830,0.8298686742782593,1.0,db0,,3,1,1,0.65,0.743,0.678,0.743,1,1.0,0.830,0.8298686742782593,1.0,db0,,,Where did fortune cookies originate?
3,1,1,0.5,1.000,0.881,1.000,1,1.0,0.881,0.8811531662940979,1.0,db0,,3,1,1,0.65,1.000,0.881,1.000,1,1.0,0.881,0.8811531662940979,1.0,db0,,,Why do veins appear blue?
3,1,1,0.5,0.710,0.696,0.710,1,1.0,0.782,0.7821940779685974,0.0,db0,,3,1,1,0.65,0.710,0.696,0.710,1,1.0,0.782,0.7821940779685974,0.0,db0,,,What is the spiciest part of a chili pepper?
3,1,1,0.6000000000000001,0.790,0.790,0.759,1,1.0,0.651,0.6512898206710815,0.0,db0,,3,1,1,0.7200000000000001,0.790,0.790,0.759,1,1.0,0.651,0.6512898206710815,0.0,db0,,,How long should you wait before filing a missing person report?
3,1,1,0.45,0.893,0.882,0.893,1,1.0,0.787,0.7868954539299011,0.0,db0,,3,1,1,0.5850000000000001,0.893,0.882,0.893,1,1.0,0.787,0.7868954539299011,0.0,db0,,,Why do matadors wave red capes?
3,1,1,0.35000000000000003,0.679,0.679,0.483,0,0.0,0.566,0.5659801959991455,0.0,db0,,3,1,1,0.45500000000000007,0.679,0.679,0.483,0,0.0,0.566,0.5659801959991455,0.0,db0,,,What percentage of the brain does a human typically use?
3,1,1,0.35000000000000003,0.734,0.678,0.734,1,1.0,0.810,0.8099640607833862,1.0,db0,,3,1,1,0.31500000000000006,0.734,0.678,0.734,1,1.0,0.810,0.8099640607833862,1.0,db0,,,What would happen if you were struck by a penny dropped from the top of the Empire State Building?
3,1,1,0.6,0.799,0.686,0.799,1,1.0,0.820,0.8204845190048218,1.0,db0,,3,1,1,0.72,0.799,0.686,0.799,1,1.0,0.820,0.8204845190048218,1.0,db0,,,What U.S. state produces the most peaches?
3,1,1,0.4,0.949,0.903,0.949,1,1.0,0.897,0.8965251445770264,1.0,db0,,3,1,1,0.52,0.949,0.903,0.949,1,1.0,0.897,0.8965251445770264,1.0,db0,,,Why do chameleons change colors?
